chi,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9
chiB2_nS0,   2.13139,   7.85625,  -5.23346,  -6.17833,   2.79167,   0.87116,   0.83017,   0.81742,   0.21476,   0.45148
chiB4_nS0,   3.98570,   0.48965,  -5.03964,  -2.04461,   3.05591,  -0.83983,   0.69118,   0.15016,   0.08958,   0.09785
