chi,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9
chiB2_nS0,   0.39204,   1.42986,  -1.37768,  -0.45502,   0.15142,   0.27976,   0.10056,   0.00359,   0.00905,   0.04131
chiB4_nS0,   0.02490,   0.00094,  -0.03326,  -0.00051,   0.00637,   0.00331,   0.00105,   0.00069,   0.00065,   0.00057
